idx,ILSVRC_ID
0,449
1,450
2,442
3,443
4,444
5,445
6,446
7,383
8,384
9,385
10,386
11,387
12,388
13,389
14,390
15,391
16,392
17,393
18,394
19,395
20,396
21,397
22,398
23,399
24,400
25,494
26,495
27,496
28,497
29,498
30,499
31,500
32,501
33,458
34,459
35,460
36,461
37,462
38,463
39,464
40,465
41,466
42,467
43,468
44,469
45,470
46,471
47,472
48,473
49,475
50,476
51,474
52,477
53,478
54,479
55,480
56,481
57,482
58,483
59,484
60,485
61,486
62,487
63,488
64,489
65,490
66,491
67,492
68,493
69,601
70,602
71,603
72,604
73,605
74,606
75,607
76,608
77,609
78,610
79,611
80,401
81,402
82,403
83,404
84,405
85,406
86,407
87,408
88,409
89,410
90,411
91,412
92,413
93,414
94,415
95,416
96,417
97,418
98,419
99,420
100,421
101,214
102,215
103,217
104,216
105,213
106,218
107,647
108,648
109,649
110,650
111,651
112,652
113,653
114,654
115,655
116,656
117,226
118,613
119,614
120,615
121,616
122,617
123,618
124,619
125,620
126,612
127,422
128,423
129,424
130,425
131,427
132,426
133,428
134,429
135,430
136,438
137,431
138,432
139,433
140,434
141,435
142,436
143,437
144,439
145,440
146,441
147,6
148,22
149,193
150,14
151,173
152,99
153,87
154,69
155,116
156,198
157,43
158,89
159,200
160,98
161,161
162,132
163,32
164,180
165,42
166,18
167,207
168,181
169,105
170,77
171,189
172,20
173,204
174,63
175,31
176,66
177,21
178,25
179,45
180,170
181,119
182,210
183,107
184,126
185,88
186,145
187,59
188,160
189,152
190,72
191,33
192,91
193,4
194,27
195,113
196,123
197,36
198,156
199,109
200,158
201,131
202,26
203,71
204,56
205,146
206,144
207,125
208,176
209,139
210,134
211,90
212,2
213,192
214,154
215,150
216,94
217,5
218,19
219,191
220,196
221,117
222,141
223,68
224,93
225,51
226,208
227,184
228,97
229,29
230,171
231,124
232,128
233,47
234,64
235,211
236,112
237,187
238,114
239,86
240,115
241,79
242,130
243,140
244,110
245,82
246,17
247,177
248,149
249,15
250,3
251,41
252,127
253,84
254,143
255,133
256,60
257,172
258,179
259,118
260,168
261,148
262,70
263,197
264,50
265,106
266,49
267,151
268,46
269,205
270,102
271,28
272,58
273,155
274,136
275,202
276,34
277,62
278,1
279,159
280,67
281,174
282,55
283,10
284,95
285,8
286,11
287,201
288,85
289,153
290,30
291,190
292,76
293,206
294,61
295,163
296,103
297,209
298,74
299,35
300,621
301,622
302,623
303,624
304,625
305,626
306,627
307,628
308,629
309,630
310,224
311,631
312,632
313,633
314,634
315,635
316,636
317,637
318,638
319,639
320,640
321,641
322,642
323,643
324,644
325,645
326,646
327,225
328,657
329,658
330,188
331,129
332,164
333,157
334,13
335,53
336,183
337,195
338,101
339,39
340,80
341,147
342,78
343,120
344,167
345,108
346,162
347,165
348,81
349,52
350,9
351,65
352,57
353,12
354,121
355,186
356,48
357,23
358,182
359,40
360,212
361,44
362,16
363,178
364,38
365,83
366,104
367,96
368,185
369,122
370,73
371,135
372,137
373,138
374,203
375,54
376,100
377,175
378,142
379,166
380,37
381,111
382,92
383,199
384,75
385,194
386,24
387,7
388,169
389,447
390,451
391,448
392,452
393,453
394,456
395,457
396,454
397,455
398,547
399,853
400,896
401,223
402,345
403,246
404,230
405,232
406,677
407,265
408,264
409,522
410,688
411,845
412,752
413,540
414,847
415,704
416,767
417,233
418,907
419,967
420,341
421,718
422,916
423,307
424,705
425,683
426,518
427,905
428,258
429,807
430,908
431,296
432,353
433,785
434,909
435,884
436,266
437,733
438,991
439,849
440,777
441,811
442,933
443,941
444,254
445,985
446,835
447,533
448,839
449,689
450,252
451,940
452,805
453,300
454,706
455,779
456,538
457,817
458,716
459,872
460,719
461,949
462,851
463,820
464,580
465,833
466,887
467,707
468,267
469,673
470,591
471,539
472,239
473,377
474,836
475,576
476,568
477,891
478,749
479,563
480,548
481,890
482,929
483,701
484,241
485,987
486,342
487,914
488,827
489,721
490,902
491,382
492,762
493,303
494,335
495,301
496,801
497,690
498,695
499,370
500,713
501,797
502,979
503,761
504,996
505,674
506,698
507,583
508,543
509,708
510,243
511,268
512,376
513,347
514,910
515,881
516,297
517,545
518,778
519,898
520,298
521,670
522,756
523,856
524,865
525,720
526,313
527,550
528,959
529,966
530,523
531,529
532,315
533,821
534,667
535,579
536,715
537,253
538,897
539,972
540,834
541,336
542,799
543,1000
544,662
545,512
546,346
547,262
548,316
549,879
550,660
551,808
552,796
553,305
554,235
555,279
556,919
557,995
558,356
559,309
560,784
561,261
562,712
563,934
564,299
565,256
566,348
567,671
568,757
569,280
570,971
571,567
572,955
573,275
574,792
575,276
576,236
577,337
578,911
579,227
580,684
581,725
582,703
583,517
584,581
585,895
586,249
587,375
588,840
589,505
590,551
591,750
592,573
593,350
594,344
595,554
596,369
597,787
598,696
599,730
600,562
601,802
602,924
603,293
604,525
605,980
606,659
607,592
608,748
609,269
610,961
611,963
612,294
613,560
614,770
615,773
616,582
617,918
618,892
619,814
620,228
621,374
622,988
623,371
624,687
625,238
626,546
627,270
628,244
629,867
630,973
631,894
632,508
633,536
634,697
635,532
636,818
637,917
638,782
639,977
640,763
641,338
642,339
643,781
644,984
645,598
646,922
647,946
648,302
649,717
650,509
651,661
652,866
653,875
654,920
655,880
656,271
657,251
658,871
659,829
660,290
661,272
662,764
663,686
664,869
665,277
666,824
667,854
668,691
669,852
670,260
671,255
672,728
673,511
674,599
675,284
676,588
677,585
678,595
679,755
680,915
681,552
682,699
683,354
684,351
685,520
686,513
687,333
688,870
689,937
690,295
691,506
692,921
693,826
694,564
695,584
696,504
697,759
698,685
699,352
700,877
701,942
702,994
703,306
704,527
705,257
706,679
707,843
708,732
709,842
710,850
711,883
712,783
713,789
714,575
715,926
716,722
717,281
718,596
719,931
720,901
721,888
722,841
723,565
724,245
725,983
726,372
727,693
728,964
729,731
730,381
731,378
732,857
733,923
734,285
735,855
736,314
737,788
738,838
739,566
740,373
741,769
742,556
743,702
744,542
745,534
746,572
747,846
748,939
749,862
750,976
751,273
752,860
753,571
754,863
755,537
756,927
757,286
758,570
759,965
760,668
761,578
762,694
763,219
764,541
765,310
766,663
767,997
768,876
769,519
770,760
771,753
772,586
773,952
774,751
775,938
776,355
777,809
778,521
779,962
780,221
781,729
782,510
783,587
784,379
785,589
786,559
787,800
788,709
789,832
790,950
791,259
792,380
793,868
794,747
795,590
796,776
797,943
798,549
799,726
800,557
801,507
802,288
803,278
804,960
805,222
806,986
807,577
808,925
809,822
810,858
811,515
812,234
813,676
814,237
815,600
816,775
817,274
818,593
819,804
820,263
821,680
822,340
823,530
824,998
825,724
826,528
827,516
828,514
829,287
830,957
831,311
832,692
833,247
834,794
835,526
836,574
837,535
838,810
839,681
840,828
841,837
842,945
843,569
844,561
845,531
846,304
847,250
848,978
849,675
850,786
851,944
852,970
853,989
854,903
855,758
856,555
857,308
858,780
859,664
860,710
861,312
862,594
863,700
864,282
865,711
866,289
867,283
868,766
869,825
870,291
871,242
872,597
873,678
874,882
875,349
876,765
877,727
878,544
879,220
880,292
881,334
882,666
883,874
884,990
885,969
886,558
887,790
888,682
889,343
890,936
891,665
892,524
893,928
894,317
895,231
896,906
897,669
898,958
899,819
900,795
901,772
902,502
903,899
904,912
905,904
906,935
907,831
908,503
909,672
910,951
911,815
912,723
913,248
914,240
915,714
916,553
917,930
918,791
919,932
920,861
921,774
922,803
923,754
924,813
925,844
926,771
927,793
928,974
929,968
930,873
931,768
932,975
933,993
934,885
935,734
936,736
937,737
938,738
939,739
940,740
941,741
942,742
943,743
944,744
945,735
946,745
947,746
948,318
949,229
950,319
951,320
952,321
953,322
954,323
955,324
956,325
957,326
958,816
959,999
960,953
961,864
962,806
963,948
964,830
965,900
966,798
967,947
968,859
969,823
970,361
971,992
972,359
973,365
974,368
975,366
976,363
977,364
978,367
979,360
980,362
981,954
982,848
983,982
984,330
985,357
986,358
987,331
988,327
989,328
990,332
991,886
992,913
993,956
994,893
995,878
996,812
997,981
998,329
999,889
